k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
12,7,vg vg giraffe,Mid,125,0.55,55172,83,55172,9,5,55335,46,206,0.9990764717599551,0.998335263462652,0.9990826018132105,0.9987057300858925,0.998710038247817,55172,51,55541,92
12,7,SAFARI,Mid,125,0.55,55176,83,55176,5,5,55335,54,198,0.998931836697746,0.9984076433121019,0.9989386962152828,0.9986696712187441,0.9986739554016021,55176,59,55533,88
12,7,vg vg giraffe,Mid,125,0.5,50229,79,50229,8,5,50378,46,190,0.9989856801909308,0.998270927736704,0.9989924731820068,0.9986281760706192,0.9986327834745133,50229,51,50568,87
12,7,SAFARI,Mid,125,0.5,50232,79,50232,5,5,50378,53,183,0.9988466892026248,0.998330550918197,0.9988541851873802,0.9985885533665985,0.9985931540100065,50232,58,50561,84
12,7,vg vg giraffe,Mid,125,0.65,65264,96,65264,10,6,65456,53,241,0.999096795921804,0.9983784610677681,0.9991027434758806,0.9987374993304922,0.9987416683190214,65264,59,65697,106
12,7,SAFARI,Mid,125,0.65,65268,96,65268,6,7,65455,62,232,0.9989439368198724,0.9984396512161542,0.9989506660989111,0.9986917303587413,0.9986959108033494,65268,69,65687,102
12,7,vg vg giraffe,Mid,125,0.6,60184,92,60184,10,6,60354,48,225,0.99910355589495,0.9983080648906877,0.9991093958735342,0.9987056519863263,0.9987098801677156,60184,54,60579,102
12,7,SAFARI,Mid,125,0.6,60188,92,60188,6,6,60354,56,217,0.9989709543568465,0.9983744152871313,0.9989774545214652,0.9986725957390323,0.998676800172016,60188,62,60571,98
12,7,vg vg giraffe,Mid,125,0.75,75171,114,75171,13,7,75406,63,274,0.9990696561715022,0.9983133682169513,0.999075907590759,0.9986913690140096,0.998695778825274,75171,70,75680,127
12,7,SAFARI,Mid,125,0.75,75177,114,75177,7,8,75405,72,265,0.998936975962369,0.9983930516082764,0.998943894389439,0.9986649397230248,0.9986692971770563,75177,80,75670,121
12,7,vg vg giraffe,Mid,125,0.7,70260,105,70260,11,6,70483,57,256,0.9991041337826885,0.9983517108105036,0.9991101946272705,0.9987277805812408,0.9987320970689484,70260,63,70739,116
12,7,SAFARI,Mid,125,0.7,70264,105,70264,7,7,70482,66,247,0.9989621394145329,0.998408548368762,0.9989689556792181,0.99868526717503,0.9986895975293602,70264,73,70729,112
12,7,vg vg giraffe,Mid,125,0.85,85024,125,85024,14,8,85279,66,315,0.9991304143458131,0.9983678357972359,0.9991362002147827,0.998748979507932,0.9987531537016116,85024,74,85594,139
12,7,SAFARI,Mid,125,0.85,85031,125,85031,7,9,85278,76,305,0.9990013628459984,0.9984500311167995,0.9990077975440071,0.9987256208927702,0.9987297387476511,85031,85,85583,132
12,7,vg vg giraffe,Mid,125,0.8,80037,122,80037,13,8,80289,65,295,0.9990887529646736,0.9983161203412663,0.9990949328638555,0.9987022872187769,0.9987067009059312,80037,73,80584,135
12,7,SAFARI,Mid,125,0.8,80043,122,80043,7,9,80288,75,285,0.9989516642330301,0.99839095943721,0.9989585528844366,0.9986712331330826,0.9986756119854007,80043,84,80573,129
12,7,vg vg giraffe,Mid,125,0.95,94919,135,94919,17,8,95205,76,340,0.9991158173952401,0.9984011948964459,0.9991216053707558,0.9987583783158138,0.9987624541164132,94919,84,95545,152
12,7,SAFARI,Mid,125,0.95,94928,135,94928,8,9,95204,87,329,0.998989728910591,0.9984958609881036,0.9989961204237209,0.9987427338962098,0.9987467226009439,94928,96,95533,143
12,7,vg vg giraffe,Mid,125,0.9,89952,129,89952,16,8,90227,69,327,0.9991447200346555,0.9983906234391822,0.9991504010768942,0.9987675293960894,0.9987716347217919,89952,77,90554,145
12,7,SAFARI,Mid,125,0.9,89961,129,89961,7,9,90226,79,317,0.9990227542782263,0.9984905157774399,0.9990290298021648,0.9987565641202135,0.9987605683679341,89961,88,90543,136
12,7,vg vg giraffe,None,125,0.15,14925,22,14925,0,0,14958,9,56,0.9993973483326637,0.998528132735666,0.999400918591493,0.9989625514541013,0.9989656322989656,14925,9,15014,22
12,7,SAFARI,None,125,0.15,14925,22,14925,0,0,14958,11,54,0.9992635243706481,0.998528132735666,0.9992677893896026,0.9988956932034936,0.9988988988988989,14925,11,15012,22
