k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
10,10,giraffe,Mid,125,0.35,104740,200,104740,3,5,35005,35,119,0.9996182477572055,0.9980656165728062,0.9988624729837333,0.9988413288003699,0.9982656112828053,104740,40,35124,203
10,10,safari,Mid,125,0.35,104740,200,104740,3,5,35005,35,119,0.9996182477572055,0.9980656165728062,0.9988624729837333,0.9988413288003699,0.9982656112828053,104740,40,35124,203
10,10,giraffe,Mid,125,0.3,89614,180,89614,3,4,29881,33,104,0.9995872884853487,0.9979620700023386,0.9987675704483379,0.998774018099951,0.9981638972116276,89614,37,29985,183
10,10,safari,Mid,125,0.3,89614,180,89614,3,4,29881,33,104,0.9995872884853487,0.9979620700023386,0.9987675704483379,0.998774018099951,0.9981638972116276,89614,37,29985,183
10,10,giraffe,Mid,125,0.45,135067,269,135067,6,6,45251,44,152,0.9996299503393355,0.9979681104165743,0.9988999625987284,0.9987983391197927,0.9982023839154844,135067,50,45403,275
10,10,safari,Mid,125,0.45,135067,269,135067,6,6,45251,44,152,0.9996299503393355,0.9979681104165743,0.9988999625987284,0.9987983391197927,0.9982023839154844,135067,50,45403,275
10,10,giraffe,Mid,125,0.4,119699,236,119699,6,6,40036,38,136,0.9996325463701428,0.9979823413178146,0.9989059080962801,0.9988067622369453,0.998214252264965,119699,44,40172,242
10,10,safari,Mid,125,0.4,119699,236,119699,6,6,40036,38,136,0.9996325463701428,0.9979823413178146,0.9989059080962801,0.9988067622369453,0.998214252264965,119699,44,40172,242
10,10,giraffe,Mid,125,0.55,165091,332,165091,8,6,55334,54,185,0.9996366961144649,0.9979447624689447,0.9989204555677504,0.9987900127653653,0.9981901271435681,165091,60,55519,340
10,10,safari,Mid,125,0.55,165091,332,165091,8,6,55334,54,185,0.9996366961144649,0.9979447624689447,0.9989204555677504,0.9987900127653653,0.9981901271435681,165091,60,55519,340
10,10,giraffe,Mid,125,0.5,150160,294,150160,7,6,50377,50,170,0.9996272034936359,0.9979994815932368,0.9988933462442938,0.9988126793868504,0.998224445947559,150160,56,50547,301
10,10,safari,Mid,125,0.5,150160,294,150160,7,6,50377,50,170,0.9996272034936359,0.9979994815932368,0.9988933462442938,0.9988126793868504,0.998224445947559,150160,56,50547,301
10,10,giraffe,Mid,125,0.65,195294,389,195294,10,7,65455,64,223,0.9996365776879175,0.9979610921187779,0.9989201356674626,0.9987981322463676,0.9982022781343471,195294,71,65678,399
10,10,safari,Mid,125,0.65,195294,389,195294,10,7,65455,64,223,0.9996365776879175,0.9979610921187779,0.9989201356674626,0.9987981322463676,0.9982022781343471,195294,71,65678,399
10,10,giraffe,Mid,125,0.6,180192,358,180192,10,6,60354,58,202,0.9996449494052903,0.9979618963225521,0.9989442428241504,0.9988027138486099,0.9982088067003898,180192,64,60556,368
10,10,safari,Mid,125,0.6,180192,358,180192,10,6,60354,58,202,0.9996449494052903,0.9979618963225521,0.9989442428241504,0.9988027138486099,0.9982088067003898,180192,64,60556,368
10,10,giraffe,Mid,125,0.75,225105,444,225105,13,7,75406,74,255,0.9996402973541872,0.9979739495127725,0.9989305801272742,0.9988064284256392,0.9982144279531636,225105,81,75661,457
10,10,safari,Mid,125,0.75,225105,444,225105,13,7,75406,74,255,0.9996402973541872,0.9979739495127725,0.9989305801272742,0.9988064284256392,0.9982144279531636,225105,81,75661,457
10,10,giraffe,Mid,125,0.7,210271,422,210271,13,7,70482,68,238,0.9996434446103087,0.9979355120404735,0.9989406031499399,0.9987887481831224,0.9981882835229715,210271,75,70720,435
10,10,safari,Mid,125,0.7,210271,422,210271,13,7,70482,68,238,0.9996434446103087,0.9979355120404735,0.9989406031499399,0.9987887481831224,0.9981882835229715,210271,75,70720,435
10,10,giraffe,Mid,125,0.85,255127,496,255127,15,9,85278,80,282,0.9996512757820827,0.9980010796516949,0.9989608751999439,0.9988254961300098,0.9982419488582923,255127,89,85560,511
10,10,safari,Mid,125,0.85,255127,496,255127,15,9,85278,80,282,0.9996512757820827,0.9980010796516949,0.9989608751999439,0.9988254961300098,0.9982419488582923,255127,89,85560,511
10,10,giraffe,Mid,125,0.8,239986,467,239986,15,8,80289,76,272,0.9996501020535677,0.9979955752948417,0.9989583979167959,0.9988221535029488,0.9982373806105639,239986,84,80561,482
10,10,safari,Mid,125,0.8,239986,467,239986,15,8,80289,76,272,0.9996501020535677,0.9979955752948417,0.9989583979167959,0.9988221535029488,0.9982373806105639,239986,84,80561,482
10,10,giraffe,Mid,125,0.95,285002,555,285002,20,9,95204,88,313,0.9996597673088997,0.9979865325288801,0.998985504214864,0.998822449165551,0.9982371042338355,285002,97,95517,575
10,10,safari,Mid,125,0.95,285002,555,285002,20,9,95204,88,313,0.9996597673088997,0.9979865325288801,0.998985504214864,0.998822449165551,0.9982371042338355,285002,97,95517,575
10,10,giraffe,Mid,125,0.9,269987,531,269987,18,9,90226,85,298,0.9996519562649724,0.9979706952124671,0.998962678496546,0.9988106182380503,0.9982195960725896,269987,94,90524,549
10,10,safari,Mid,125,0.9,269987,531,269987,18,9,90226,85,298,0.9996519562649724,0.9979706952124671,0.998962678496546,0.9988106182380503,0.9982195960725896,269987,94,90524,549
10,10,giraffe,None,125,0.15,44879,82,44879,0,0,14958,11,49,0.9997549565604812,0.9981761971486399,0.9992675456119323,0.9989649530890029,0.9984494573100585,44879,11,15007,82
10,10,safari,None,125,0.15,44879,82,44879,0,0,14958,11,49,0.9997549565604812,0.9981761971486399,0.9992675456119323,0.9989649530890029,0.9984494573100585,44879,11,15007,82
10,10,giraffe,None,125,0.1,29905,50,29905,0,0,10014,7,26,0.999765980208612,0.9983308295776999,0.9993032746093361,0.9990478894883659,0.9985750712464376,29905,7,10040,50
10,10,safari,None,125,0.1,29905,50,29905,0,0,10014,7,26,0.999765980208612,0.9983308295776999,0.9993032746093361,0.9990478894883659,0.9985750712464376,29905,7,10040,50
10,10,giraffe,None,125,0.25,74863,137,74863,0,0,24988,20,88,0.9997329166833594,0.9981733333333334,0.9992030602486452,0.9989525162960443,0.9984315057544757,74863,20,25076,137
10,10,safari,None,125,0.25,74863,137,74863,0,0,24988,20,88,0.9997329166833594,0.9981733333333334,0.9992030602486452,0.9989525162960443,0.9984315057544757,74863,20,25076,137
10,10,giraffe,None,125,0.2,59885,108,59885,0,0,19912,15,70,0.9997495826377295,0.9981997899754972,0.9992498874831225,0.9989740852259932,0.9984623077884736,59885,15,19982,108
10,10,safari,None,125,0.2,59885,108,59885,0,0,19912,15,70,0.9997495826377295,0.9981997899754972,0.9992498874831225,0.9989740852259932,0.9984623077884736,59885,15,19982,108
10,10,giraffe,None,125,0.35,104751,195,104751,0,0,35012,31,118,0.9997041476589491,0.9981419015493682,0.9991183413441028,0.9989224137931034,0.9983869471189877,104751,31,35130,195
10,10,safari,None,125,0.35,104751,195,104751,0,0,35012,31,118,0.9997041476589491,0.9981419015493682,0.9991183413441028,0.9989224137931034,0.9983869471189877,104751,31,35130,195
10,10,giraffe,None,125,0.3,89632,168,89632,0,0,29887,25,109,0.9997211595302096,0.9981291759465479,0.9991672495919524,0.9989245334536964,0.9983892639854449,89632,25,29996,168
10,10,safari,None,125,0.3,89632,168,89632,0,0,29887,25,109,0.9997211595302096,0.9981291759465479,0.9991672495919524,0.9989245334536964,0.9983892639854449,89632,25,29996,168
10,10,giraffe,None,125,0.45,135088,258,135088,0,3,45254,41,144,0.9996743924459047,0.9980937744743102,0.9990317327582413,0.9988834581740473,0.998329535146138,135088,44,45398,258
10,10,safari,None,125,0.45,135088,258,135088,0,3,45254,41,144,0.9996743924459047,0.9980937744743102,0.9990317327582413,0.9988834581740473,0.998329535146138,135088,44,45398,258
10,10,giraffe,None,125,0.4,119726,219,119726,0,2,40042,36,129,0.9996827093283458,0.9981741631581141,0.9990549379492154,0.9989278667050464,0.9983952945290159,119726,38,40171,219
10,10,safari,None,125,0.4,119726,219,119726,0,2,40042,36,129,0.9996827093283458,0.9981741631581141,0.9990549379492154,0.9989278667050464,0.9983952945290159,119726,38,40171,219
10,10,giraffe,None,125,0.55,165117,318,165117,0,5,55335,55,169,0.9996367533010044,0.9980777949043431,0.9989201641350515,0.9988566658197525,0.9982895850207467,165117,60,55504,318
