k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
15,15,SAFARI,Single-stranded,125,0.2,59669,98,59669,136,0,19911,11,65,0.9998156836461126,0.9960936847904112,0.9994496422674739,0.9979512138012929,0.9969332832644887,59669,11,19976,234
15,15,vg giraffe,Single-stranded,125,0.35,104401,162,104401,222,1,35009,17,121,0.9998276175791762,0.9963353533425586,0.999487879822465,0.9980784306227414,0.997127196586938,104401,18,35130,384
15,15,SAFARI,Single-stranded,125,0.35,104401,162,104401,222,1,35009,17,121,0.9998276175791762,0.9963353533425586,0.999487879822465,0.9980784306227414,0.997127196586938,104401,18,35130,384
15,15,vg giraffe,Single-stranded,125,0.3,89325,138,89325,193,0,29885,16,110,0.9998209108919757,0.9963081110020523,0.9994668621505448,0.9980614200237993,0.9971002866287281,89325,16,29995,331
15,15,SAFARI,Single-stranded,125,0.3,89325,138,89325,193,0,29885,16,110,0.9998209108919757,0.9963081110020523,0.9994668621505448,0.9980614200237993,0.9971002866287281,89325,16,29995,331
15,15,vg giraffe,Single-stranded,125,0.45,134634,212,134634,300,1,45254,22,159,0.9998291956600845,0.9962115045950306,0.9994937934677348,0.9980170717152888,0.9970373569901763,134634,23,45413,512
15,15,SAFARI,Single-stranded,125,0.45,134634,212,134634,300,1,45254,22,159,0.9998291956600845,0.9962115045950306,0.9994937934677348,0.9980170717152888,0.9970373569901763,134634,23,45413,512
15,15,vg giraffe,Single-stranded,125,0.4,119326,187,119326,262,1,40041,19,138,0.9998324200224558,0.9962513045293259,0.9995024751859499,0.9980386498885501,0.9970682735944592,119326,20,40179,449
15,15,SAFARI,Single-stranded,125,0.4,119326,187,119326,262,1,40041,19,138,0.9998324200224558,0.9962513045293259,0.9995024751859499,0.9980386498885501,0.9970682735944592,119326,20,40179,449
15,15,vg giraffe,Single-stranded,125,0.55,164585,253,164585,367,1,55338,27,187,0.9998299040780497,0.996247086952574,0.9994959768149335,0.9980352800635501,0.997064659038404,164585,28,55525,620
15,15,SAFARI,Single-stranded,125,0.55,164585,253,164585,367,1,55338,27,187,0.9998299040780497,0.996247086952574,0.9994959768149335,0.9980352800635501,0.997064659038404,164585,28,55525,620
15,15,vg giraffe,Single-stranded,125,0.5,149701,234,149701,326,1,50380,24,175,0.9998330283317527,0.9962731513832598,0.9995057334914986,0.9980499154963381,0.9970872481216485,149701,25,50555,560
15,15,SAFARI,Single-stranded,125,0.5,149701,234,149701,326,1,50380,24,175,0.9998330283317527,0.9962731513832598,0.9995057334914986,0.9980499154963381,0.9970872481216485,149701,25,50555,560
15,15,vg giraffe,Single-stranded,125,0.65,194703,294,194703,434,1,65462,32,235,0.9998305398077397,0.9962749000926158,0.9994979461433136,0.9980495531400656,0.9970860886579543,194703,33,65697,728
15,15,SAFARI,Single-stranded,125,0.65,194703,294,194703,434,1,65462,32,235,0.9998305398077397,0.9962749000926158,0.9994979461433136,0.9980495531400656,0.9970860886579543,194703,33,65697,728
15,15,vg giraffe,Single-stranded,125,0.6,179632,270,179632,407,1,60358,30,214,0.9998274547346977,0.996245334398172,0.9994884741679455,0.9980331803584723,0.9970611675632596,179632,31,60572,677
15,15,SAFARI,Single-stranded,125,0.6,179632,270,179632,407,1,60358,30,214,0.9998274547346977,0.996245334398172,0.9994884741679455,0.9980331803584723,0.9970611675632596,179632,31,60572,677
15,15,vg giraffe,Single-stranded,125,0.75,224406,350,224406,520,1,75413,39,270,0.9998217834133822,0.9961380706333565,0.9994717589107669,0.9979765277215702,0.9969767341419739,224406,40,75683,870
